D	q
2.168404344971008868e-19	4.161947322269737848e-02
2.696473778584433482e-05	4.224785597599400172e-02
5.392947557168888649e-05	4.287623872929063190e-02
8.089421335753322131e-05	4.350462148258725514e-02
1.078589511433775561e-04	4.413300423588388532e-02
1.348236889292218910e-04	4.476138698918050857e-02
1.617884267150664426e-04	4.538976974247713875e-02
1.887531645009105606e-04	4.601815249577376199e-02
2.157179022867551123e-04	4.664653524907039217e-02
2.426826400725992303e-04	4.727491800236701541e-02
2.696473778584437819e-04	4.790330075566364559e-02
2.966121156442883336e-04	4.853168350896026884e-02
3.235768534301328853e-04	4.916006626225689902e-02
3.505415912159770032e-04	4.978844901555352226e-02
3.775063290018211212e-04	5.041683176885014550e-02
4.044710667876656729e-04	5.104521452214677568e-02
4.314358045735102246e-04	5.167359727544340586e-02
4.584005423593543425e-04	5.230198002874002911e-02
4.853652801451984605e-04	5.293036278203665235e-02
5.123300179310430122e-04	5.355874553533328253e-02
5.392947557168875639e-04	5.418712828862991271e-02
5.662594935027321155e-04	5.481551104192653595e-02
5.932242312885762335e-04	5.544389379522315919e-02
6.201889690744207852e-04	5.607227654851978937e-02
6.471537068602649032e-04	5.670065930181641262e-02
6.741184446461090211e-04	5.732904205511303586e-02
7.010831824319535728e-04	5.795742480840966604e-02
7.280479202177981245e-04	5.858580756170629622e-02
7.550126580036426761e-04	5.921419031500291946e-02
7.819773957894867941e-04	5.984257306829954270e-02
8.089421335753313458e-04	6.047095582159617289e-02
8.359068713611758975e-04	6.109933857489280307e-02
8.628716091470200154e-04	6.172772132818942631e-02
8.898363469328641334e-04	6.235610408148604955e-02
9.168010847187086851e-04	6.298448683478267973e-02
9.437658225045532367e-04	6.361286958807930991e-02
9.707305602903973547e-04	6.424125234137592622e-02
9.976952980762419064e-04	6.486963509467255640e-02
1.024660035862086458e-03	6.549801784796918658e-02
1.051624773647931010e-03	6.612640060126581676e-02
1.078589511433775561e-03	6.675478335456244694e-02
1.105554249219619246e-03	6.738316610785906324e-02
1.132518987005463797e-03	6.801154886115569342e-02
1.159483724791307915e-03	6.863993161445230973e-02
1.186448462577152467e-03	6.926831436774893991e-02
1.213413200362997019e-03	6.989669712104557009e-02
1.240377938148841137e-03	7.052507987434220027e-02
1.267342675934685688e-03	7.115346262763883045e-02
1.294307413720529806e-03	7.178184538093544675e-02
1.321272151506374358e-03	7.241022813423207694e-02
1.348236889292218476e-03	7.303861088752869324e-02
1.375201627078062594e-03	7.366699364082532342e-02
1.402166364863907146e-03	7.429537639412195360e-02
1.429131102649751697e-03	7.492375914741858378e-02
1.456095840435596249e-03	7.555214190071521396e-02
1.483060578221440801e-03	7.618052465401184414e-02
1.510025316007284919e-03	7.680890740730846045e-02
1.536990053793129470e-03	7.743729016060509063e-02
1.563954791578973155e-03	7.806567291390170693e-02
1.590919529364817706e-03	7.869405566719833711e-02
1.617884267150662258e-03	7.932243842049496729e-02
1.644849004936506810e-03	7.995082117379159747e-02
1.671813742722351361e-03	8.057920392708822765e-02
1.698778480508195913e-03	8.120758668038485784e-02
1.725743218294040031e-03	8.183596943368147414e-02
1.752707956079883715e-03	8.246435218697809044e-02
1.779672693865728267e-03	8.309273494027472062e-02
1.806637431651572819e-03	8.372111769357135080e-02
1.833602169437417370e-03	8.434950044686798099e-02
1.860566907223261922e-03	8.497788320016461117e-02
1.887531645009106473e-03	8.560626595346124135e-02
1.914496382794950591e-03	8.623464870675785765e-02
1.941461120580795143e-03	8.686303146005448783e-02
1.968425858366638827e-03	8.749141421335110413e-02
1.995390596152483379e-03	8.811979696664773432e-02
2.022355333938327931e-03	8.874817971994436450e-02
2.049320071724172482e-03	8.937656247324099468e-02
2.076284809510017034e-03	9.000494522653762486e-02
2.103249547295861586e-03	9.063332797983425504e-02
2.130214285081705704e-03	9.126171073313087134e-02
2.157179022867550255e-03	9.189009348642750152e-02
2.184143760653393940e-03	9.251847623972411783e-02
2.211108498439238491e-03	9.314685899302074801e-02
2.238073236225083043e-03	9.377524174631737819e-02
2.265037974010927595e-03	9.440362449961400837e-02
2.292002711796772146e-03	9.503200725291063855e-02
2.318967449582615831e-03	9.566039000620725485e-02
2.345932187368460382e-03	9.628877275950388503e-02
2.372896925154304067e-03	9.691715551280050134e-02
2.399861662940148618e-03	9.754553826609713152e-02
2.426826400725993170e-03	9.817392101939376170e-02
2.453791138511837722e-03	9.880230377269039188e-02
2.480755876297682273e-03	9.943068652598702206e-02
2.507720614083526825e-03	1.000590692792836522e-01
2.534685351869371377e-03	1.006874520325802685e-01
2.561650089655215928e-03	1.013158347858768987e-01
2.588614827441059613e-03	1.019442175391735150e-01
2.615579565226904164e-03	1.025726002924701452e-01
2.642544303012748716e-03	1.032009830457667754e-01
2.669509040798593268e-03	1.038293657990634056e-01
2.696473778584436952e-03	1.044577485523600219e-01
2.723438516370281504e-03	1.050861313056566521e-01
2.750403254156126055e-03	1.057145140589532822e-01
2.777367991941970607e-03	1.063428968122499124e-01
2.804332729727814291e-03	1.069712795655465287e-01
2.831297467513658843e-03	1.075996623188431589e-01
2.858262205299503395e-03	1.082280450721397891e-01
2.885226943085347946e-03	1.088564278254364193e-01
2.912191680871191631e-03	1.094848105787330356e-01
2.939156418657036182e-03	1.101131933320296657e-01
2.966121156442880734e-03	1.107415760853262959e-01
2.993085894228725286e-03	1.113699588386229261e-01
3.020050632014569837e-03	1.119983415919195424e-01
3.047015369800414389e-03	1.126267243452161726e-01
3.073980107586258941e-03	1.132551070985128028e-01
3.100944845372102625e-03	1.138834898518094191e-01
3.127909583157947176e-03	1.145118726051060493e-01
3.154874320943791728e-03	1.151402553584026794e-01
3.181839058729636280e-03	1.157686381116993096e-01
3.208803796515479964e-03	1.163970208649959259e-01
3.235768534301324516e-03	1.170254036182925561e-01
3.262733272087169067e-03	1.176537863715891863e-01
3.289698009873013619e-03	1.182821691248858165e-01
3.316662747658857303e-03	1.189105518781824328e-01
3.343627485444701855e-03	1.195389346314790630e-01
3.370592223230546407e-03	1.201673173847756931e-01
3.397556961016390958e-03	1.207957001380723233e-01
3.424521698802235510e-03	1.214240828913689396e-01
3.451486436588080062e-03	1.220524656446655698e-01
3.478451174373924613e-03	1.226808483979622000e-01
3.505415912159768298e-03	1.233092311512588163e-01
3.532380649945612849e-03	1.239376139045554465e-01
3.559345387731457401e-03	1.245659966578520766e-01
3.586310125517301085e-03	1.251943794111486929e-01
3.613274863303145637e-03	1.258227621644453231e-01
3.640239601088990189e-03	1.264511449177419533e-01
3.667204338874834740e-03	1.270795276710385835e-01
3.694169076660679292e-03	1.277079104243352137e-01
3.721133814446523844e-03	1.283362931776318439e-01
3.748098552232368395e-03	1.289646759309284740e-01
3.775063290018212947e-03	1.295930586842251042e-01
3.802028027804057499e-03	1.302214414375217344e-01
3.828992765589900316e-03	1.308498241908183368e-01
3.855957503375744867e-03	1.314782069441149670e-01
3.882922241161589419e-03	1.321065896974115972e-01
3.909886978947433103e-03	1.327349724507081996e-01
3.936851716733277655e-03	1.333633552040048298e-01
3.963816454519122207e-03	1.339917379573014600e-01
3.990781192304966758e-03	1.346201207105980902e-01
4.017745930090811310e-03	1.352485034638947203e-01
4.044710667876655862e-03	1.358768862171913505e-01
4.071675405662500413e-03	1.365052689704879807e-01
4.098640143448344965e-03	1.371336517237846109e-01
4.125604881234189517e-03	1.377620344770812411e-01
4.152569619020034068e-03	1.383904172303778712e-01
4.179534356805878620e-03	1.390187999836745014e-01
4.206499094591723172e-03	1.396471827369711316e-01
4.233463832377565988e-03	1.402755654902677340e-01
4.260428570163410540e-03	1.409039482435643642e-01
4.287393307949255092e-03	1.415323309968609944e-01
4.314358045735099643e-03	1.421607137501576246e-01
4.341322783520943328e-03	1.427890965034542270e-01
4.368287521306787879e-03	1.434174792567508572e-01
4.395252259092632431e-03	1.440458620100474874e-01
4.422216996878476983e-03	1.446742447633441175e-01
4.449181734664321534e-03	1.453026275166407477e-01
4.476146472450166086e-03	1.459310102699373779e-01
4.503111210236010638e-03	1.465593930232340081e-01
4.530075948021855189e-03	1.471877757765306383e-01
4.557040685807699741e-03	1.478161585298272684e-01
4.584005423593544293e-03	1.484445412831238986e-01
4.610970161379388844e-03	1.490729240364205288e-01
4.637934899165231661e-03	1.497013067897171312e-01
4.664899636951076213e-03	1.503296895430137614e-01
4.691864374736920765e-03	1.509580722963103916e-01
4.718829112522765316e-03	1.515864550496070218e-01
4.745793850308609001e-03	1.522148378029036242e-01
4.772758588094453552e-03	1.528432205562002544e-01
4.799723325880298104e-03	1.534716033094968846e-01
4.826688063666142656e-03	1.540999860627935147e-01
4.853652801451987207e-03	1.547283688160901449e-01
