D	q
0.000000000000000000e+00	4.154926213937844975e-02
2.548984719443489824e-05	4.197083801899683525e-02
5.097969438886979648e-05	4.239241389861522075e-02
7.646954158330512841e-05	4.281398977823360624e-02
1.019593887777400266e-04	4.323556565785199174e-02
1.274492359721749249e-04	4.365714153747037723e-02
1.529390831666098231e-04	4.407871741708875579e-02
1.784289303610447214e-04	4.450029329670714129e-02
2.039187775554796196e-04	4.492186917632552678e-02
2.294086247499149515e-04	4.534344505594391228e-02
2.548984719443498498e-04	4.576502093556229778e-02
2.803883191387847480e-04	4.618659681518068327e-02
3.058781663332200799e-04	4.660817269479906877e-02
3.313680135276549782e-04	4.702974857441745427e-02
3.568578607220898764e-04	4.745132445403583976e-02
3.823477079165252084e-04	4.787290033365422526e-02
4.078375551109601066e-04	4.829447621327261075e-02
4.333274023053950048e-04	4.871605209289099625e-02
4.588172494998303368e-04	4.913762797250938175e-02
4.843070966942648013e-04	4.955920385212776030e-02
5.097969438886996996e-04	4.998077973174614580e-02
5.352867910831350315e-04	5.040235561136453130e-02
5.607766382775699297e-04	5.082393149098291679e-02
5.862664854720048280e-04	5.124550737060130229e-02
6.117563326664401599e-04	5.166708325021968778e-02
6.372461798608750581e-04	5.208865912983807328e-02
6.627360270553099564e-04	5.251023500945645878e-02
6.882258742497452883e-04	5.293181088907484427e-02
7.137157214441797529e-04	5.335338676869322283e-02
7.392055686386146511e-04	5.377496264831160833e-02
7.646954158330499830e-04	5.419653852792999382e-02
7.901852630274848813e-04	5.461811440754837932e-02
8.156751102219197795e-04	5.503969028716676481e-02
8.411649574163551114e-04	5.546126616678515031e-02
8.666548046107900097e-04	5.588284204640353581e-02
8.921446518052249079e-04	5.630441792602192130e-02
9.176344989996602398e-04	5.672599380564030680e-02
9.431243461940951381e-04	5.714756968525869230e-02
9.686141933885300363e-04	5.756914556487707779e-02
9.941040405829653683e-04	5.799072144449546329e-02
1.019593887777400266e-03	5.841229732411384878e-02
1.045083734971835165e-03	5.883387320373223428e-02
1.070573582166270497e-03	5.925544908335061978e-02
1.096063429360705395e-03	5.967702496296900527e-02
1.121553276555139859e-03	6.009860084258738383e-02
1.147043123749575191e-03	6.052017672220576933e-02
1.172532970944010090e-03	6.094175260182415482e-02
1.198022818138444988e-03	6.136332848144254032e-02
1.223512665332880320e-03	6.178490436106092581e-02
1.249002512527315218e-03	6.220648024067931131e-02
1.274492359721749683e-03	6.262805612029768987e-02
1.299982206916185015e-03	6.304963199991607536e-02
1.325472054110619913e-03	6.347120787953446086e-02
1.350961901305054811e-03	6.389278375915284636e-02
1.376451748499490143e-03	6.431435963877123185e-02
1.401941595693925041e-03	6.473593551838961735e-02
1.427431442888360373e-03	6.515751139800800285e-02
1.452921290082794838e-03	6.557908727762638834e-02
1.478411137277230170e-03	6.600066315724477384e-02
1.503900984471665501e-03	6.642223903686315933e-02
1.529390831666099966e-03	6.684381491648154483e-02
1.554880678860535298e-03	6.726539079609993033e-02
1.580370526054970630e-03	6.768696667571831582e-02
1.605860373249405094e-03	6.810854255533670132e-02
1.631350220443840426e-03	6.853011843495508681e-02
1.656840067638275758e-03	6.895169431457347231e-02
1.682329914832710223e-03	6.937327019419185781e-02
1.707819762027144687e-03	6.979484607381022943e-02
1.733309609221580019e-03	7.021642195342861492e-02
1.758799456416014484e-03	7.063799783304700042e-02
1.784289303610449816e-03	7.105957371266538591e-02
1.809779150804885148e-03	7.148114959228377141e-02
1.835268997999319612e-03	7.190272547190215691e-02
1.860758845193754944e-03	7.232430135152054240e-02
1.886248692388190276e-03	7.274587723113892790e-02
1.911738539582624741e-03	7.316745311075731339e-02
1.937228386777060073e-03	7.358902899037569889e-02
1.962718233971495405e-03	7.401060486999408439e-02
1.988208081165929869e-03	7.443218074961246988e-02
2.013697928360365201e-03	7.485375662923085538e-02
2.039187775554800533e-03	7.527533250884924088e-02
2.064677622749234998e-03	7.569690838846762637e-02
2.090167469943670329e-03	7.611848426808601187e-02
2.115657317138105661e-03	7.654006014770439736e-02
2.141147164332540126e-03	7.696163602732278286e-02
2.166637011526975458e-03	7.738321190694116836e-02
2.192126858721410790e-03	7.780478778655955385e-02
2.217616705915845254e-03	7.822636366617793935e-02
2.243106553110280586e-03	7.864793954579632485e-02
2.268596400304715918e-03	7.906951542541471034e-02
2.294086247499150383e-03	7.949109130503309584e-02
2.319576094693585715e-03	7.991266718465148133e-02
2.345065941888021047e-03	8.033424306426986683e-02
2.370555789082455511e-03	8.075581894388825233e-02
2.396045636276890843e-03	8.117739482350663782e-02
