t	MSD
0.0	0.0
2.5	0.9230508826888337
5.0	1.8461017653776675
7.5	2.769152648066501
10.0	3.692203530755335
12.5	4.615254413444168
15.0	5.538305296133002
17.5	6.461356178821836
20.0	7.38440706151067
22.5	8.307457944199504
25.0	9.230508826888336
27.5	10.15355970957717
30.0	11.076610592266004
32.5	11.999661474954838
35.0	12.922712357643672
37.5	13.845763240332506
40.0	14.76881412302134
42.5	15.691865005710172
45.0	16.614915888399008
47.5	17.53796677108784
50.0	18.461017653776672
52.5	19.384068536465506
55.0	20.30711941915434
57.5	21.230170301843174
60.0	22.153221184532008
62.5	23.07627206722084
65.0	23.999322949909676
67.5	24.92237383259851
70.0	25.845424715287344
72.5	26.768475597976177
75.0	27.69152648066501
77.5	28.614577363353845
80.0	29.53762824604268
82.5	30.46067912873151
85.0	31.383730011420344
87.5	32.30678089410918
90.0	33.229831776798015
92.5	34.15288265948685
95.0	35.07593354217568
97.5	35.99898442486451
100.0	36.922035307553344
102.5	37.84508619024218
105.0	38.76813707293101
107.5	39.691187955619846
110.0	40.61423883830868
112.5	41.537289720997514
115.0	42.46034060368635
117.5	43.38339148637518
120.0	44.306442369064015
122.5	45.22949325175285
125.0	46.15254413444168
127.5	47.07559501713052
130.0	47.99864589981935
132.5	48.921696782508185
135.0	49.84474766519702
137.5	50.76779854788585
140.0	51.69084943057469
142.5	52.61390031326352
145.0	53.536951195952355
147.5	54.46000207864119
150.0	55.38305296133002
152.5	56.30610384401886
155.0	57.22915472670769
157.5	58.152205609396525
160.0	59.07525649208536
162.5	59.998307374774186
165.0	60.92135825746302
167.5	61.84440914015185
170.0	62.76746002284069
172.5	63.69051090552952
175.0	64.61356178821836
177.5	65.53661267090719
180.0	66.45966355359603
182.5	67.38271443628486
185.0	68.3057653189737
187.5	69.22881620166253
190.0	70.15186708435137
192.5	71.0749179670402
195.0	71.99796884972902
197.5	72.92101973241786
200.0	73.84407061510669
202.5	74.76712149779553
205.0	75.69017238048436
207.5	76.6132232631732
210.0	77.53627414586202
212.5	78.45932502855086
215.0	79.38237591123969
217.5	80.30542679392853
220.0	81.22847767661736
222.5	82.1515285593062
225.0	83.07457944199503
227.5	83.99763032468387
230.0	84.9206812073727
232.5	85.84373209006154
235.0	86.76678297275036
237.5	87.6898338554392
240.0	88.61288473812803
242.5	89.53593562081687
245.0	90.4589865035057
247.5	91.38203738619454
