t   MSD
50500 0.527838
51000 1.48394
51500 2.4471
52000 3.38707
52500 4.28212
53000 5.11163
53500 6.09936
54000 7.12899
54500 8.17219
55000 9.13326
55500 10.0692
56000 10.892
56500 11.8837
57000 12.849
57500 13.7733
58000 14.6925
58500 15.6849
59000 16.7438
59500 17.5591
60000 18.3106
60500 19.2444
61000 20.3107
61500 21.3103
62000 22.3461
62500 23.2492
63000 24.2222
63500 25.1249
64000 25.8649
64500 26.9132
65000 27.8885
65500 28.9475
66000 29.9045
66500 30.8025
67000 31.8059
67500 32.7588
68000 33.5336
68500 34.3716
69000 35.2942
69500 36.0584
70000 36.9175
70500 37.9144
71000 38.8614
71500 39.6767
72000 40.4436
72500 41.3217
73000 41.9941
73500 42.8076
74000 43.714
74500 44.7177
75000 45.7709
75500 46.5106
76000 47.3789
76500 48.3561
77000 49.1476
77500 50.0373
78000 51.1119
78500 52.0791
79000 52.8396
79500 53.7711
80000 54.7183
80500 55.469
81000 56.2707
81500 57.0559
82000 57.7239
82500 58.6844
83000 59.613
83500 60.52
84000 61.3316
84500 62.1939
85000 63.311
85500 64.3426
86000 65.1122
86500 66.0119
87000 66.86
87500 67.8315
88000 68.9194
88500 69.9767
89000 70.9522
89500 72.0047
90000 72.9296
90500 74.0972
91000 75.0605
91500 75.8686
92000 76.6101
92500 77.1892
93000 78.0388
93500 79.1312
94000 80.1854
94500 81.0645
95000 81.606
95500 82.3876
96000 83.279
96500 84.4125
97000 85.2292
97500 86.1782
98000 86.9469
98500 87.7589
99000 88.5814
99500 89.3787
100000 90.2836
