t	MSD
0.0	0.0
2.5	0.4004796840053061
5.0	0.8009593680106122
7.5	1.2014390520159184
10.0	1.6019187360212244
12.5	2.002398420026531
15.0	2.4028781040318368
17.5	2.8033577880371428
20.0	3.2038374720424487
22.5	3.604317156047755
25.0	4.004796840053062
27.5	4.405276524058367
30.0	4.8057562080636735
32.5	5.20623589206898
35.0	5.6067155760742855
37.5	6.007195260079592
40.0	6.4076749440848975
42.5	6.808154628090204
45.0	7.20863431209551
47.5	7.609113996100816
50.0	8.009593680106123
52.5	8.410073364111428
55.0	8.810553048116734
57.5	9.21103273212204
60.0	9.611512416127347
62.5	10.011992100132654
65.0	10.41247178413796
67.5	10.812951468143265
70.0	11.213431152148571
72.5	11.613910836153877
75.0	12.014390520159184
77.5	12.41487020416449
80.0	12.815349888169795
82.5	13.215829572175101
85.0	13.616309256180408
87.5	14.016788940185714
90.0	14.41726862419102
92.5	14.817748308196327
95.0	15.218227992201632
97.5	15.618707676206938
100.0	16.019187360212246
102.5	16.41966704421755
105.0	16.820146728222856
107.5	17.220626412228164
110.0	17.62110609623347
112.5	18.021585780238777
115.0	18.42206546424408
117.5	18.822545148249386
120.0	19.223024832254694
122.5	19.62350451626
125.0	20.023984200265307
127.5	20.42446388427061
130.0	20.82494356827592
132.5	21.225423252281225
135.0	21.62590293628653
137.5	22.026382620291837
140.0	22.426862304297142
142.5	22.82734198830245
145.0	23.227821672307755
147.5	23.62830135631306
150.0	24.028781040318368
152.5	24.429260724323672
155.0	24.82974040832898
157.5	25.230220092334285
160.0	25.63069977633959
162.5	26.031179460344898
165.0	26.431659144350203
167.5	26.83213882835551
170.0	27.232618512360816
172.5	27.633098196366124
175.0	28.03357788037143
177.5	28.434057564376733
180.0	28.83453724838204
182.5	29.235016932387346
185.0	29.635496616392654
187.5	30.03597630039796
190.0	30.436455984403263
192.5	30.83693566840857
195.0	31.237415352413876
197.5	31.637895036419184
200.0	32.03837472042449
202.5	32.4388544044298
205.0	32.8393340884351
207.5	33.23981377244041
210.0	33.64029345644571
212.5	34.04077314045102
215.0	34.44125282445633
217.5	34.84173250846163
220.0	35.24221219246694
222.5	35.64269187647224
225.0	36.04317156047755
227.5	36.44365124448286
230.0	36.84413092848816
232.5	37.24461061249347
235.0	37.64509029649877
237.5	38.045569980504084
240.0	38.44604966450939
242.5	38.84652934851469
245.0	39.24700903252
247.5	39.6474887165253
