x	 y
2.398126583153413136e-02	0.000000000000000000e+00
2.592199608064857733e-02	1.179982681605006045e-05
2.786272632976302677e-02	2.359965363210012089e-05
2.980345657887747274e-02	3.539948044815018134e-05
3.174418682799191871e-02	4.719930726420024179e-05
3.368491707710636468e-02	5.899913408025027513e-05
3.562564732622081065e-02	7.079896089630033557e-05
3.756637757533526356e-02	8.259878771235042313e-05
3.950710782444970259e-02	9.439861452840045647e-05
4.144783807356415550e-02	1.061984413444505169e-04
4.338856832267859454e-02	1.179982681605005503e-04
4.532929857179304745e-02	1.297980949765506378e-04
4.727002882090749342e-02	1.415979217926007254e-04
4.921075907002193939e-02	1.533977486086507587e-04
5.115148931913639230e-02	1.651975754247008463e-04
5.309221956825083133e-02	1.769974022407508796e-04
5.503294981736528424e-02	1.887972290568009671e-04
5.697368006647972327e-02	2.005970558728509463e-04
5.891441031559417618e-02	2.123968826889010880e-04
6.085514056470861521e-02	2.241967095049510672e-04
6.279587081382306812e-02	2.359965363210011547e-04
6.473660106293752103e-02	2.477963631370512965e-04
6.667733131205196007e-02	2.595961899531012756e-04
6.861806156116641298e-02	2.713960167691513632e-04
7.055879181028085201e-02	2.831958435852013965e-04
7.249952205939530492e-02	2.949956704012514841e-04
7.444025230850974395e-02	3.067954972173015174e-04
7.638098255762419686e-02	3.185953240333516050e-04
7.832171280673864977e-02	3.303951508494016925e-04
8.026244305585308880e-02	3.421949776654517258e-04
8.220317330496754171e-02	3.539948044815017592e-04
8.414390355408198074e-02	3.657946312975517925e-04
8.608463380319643365e-02	3.775944581136019343e-04
8.802536405231088656e-02	3.893942849296519676e-04
8.996609430142532560e-02	4.011941117457020010e-04
9.190682455053977851e-02	4.129939385617521427e-04
9.384755479965421754e-02	4.247937653778020677e-04
9.578828504876867045e-02	4.365935921938522094e-04
9.772901529788310948e-02	4.483934190099022428e-04
9.966974554699756239e-02	4.601932458259522761e-04
1.016104757961120014e-01	4.719930726420023094e-04
1.035512060452264543e-01	4.837928994580524512e-04
1.054919362943409072e-01	4.955927262741024845e-04
1.074326665434553463e-01	5.073925530901525179e-04
1.093733967925697992e-01	5.191923799062026596e-04
1.113141270416842382e-01	5.309922067222526930e-04
1.132548572907986911e-01	5.427920335383027263e-04
1.151955875399131302e-01	5.545918603543527597e-04
1.171363177890275831e-01	5.663916871704027930e-04
1.190770480381420360e-01	5.781915139864529348e-04
1.210177782872564750e-01	5.899913408025029681e-04
1.229585085363709279e-01	6.017911676185530015e-04
1.248992387854853670e-01	6.135909944346030348e-04
1.268399690345998199e-01	6.253908212506531766e-04
1.287806992837142450e-01	6.371906480667031015e-04
1.307214295328286979e-01	6.489904748827531348e-04
1.326621597819431508e-01	6.607903016988032766e-04
1.346028900310576037e-01	6.725901285148534183e-04
1.365436202801720567e-01	6.843899553309034517e-04
1.384843505292864818e-01	6.961897821469533766e-04
1.404250807784009347e-01	7.079896089630035184e-04
1.423658110275153876e-01	7.197894357790535517e-04
1.443065412766298405e-01	7.315892625951036935e-04
1.462472715257442657e-01	7.433890894111536184e-04
1.481880017748587186e-01	7.551889162272036517e-04
1.501287320239731715e-01	7.669887430432537935e-04
1.520694622730876244e-01	7.787885698593039353e-04
1.540101925222020496e-01	7.905883966753538602e-04
1.559509227713165025e-01	8.023882234914038935e-04
1.578916530204309554e-01	8.141880503074540353e-04
1.598323832695454083e-01	8.259878771235040686e-04
1.617731135186598335e-01	8.377877039395541020e-04
1.637138437677742864e-01	8.495875307556040269e-04
1.656545740168887393e-01	8.613873575716541687e-04
1.675953042660031922e-01	8.731871843877043104e-04
1.695360345151176451e-01	8.849870112037544522e-04
1.714767647642320703e-01	8.967868380198043771e-04
1.734174950133465232e-01	9.085866648358545189e-04
1.753582252624609761e-01	9.203864916519044438e-04
1.772989555115754290e-01	9.321863184679545855e-04
1.792396857606898541e-01	9.439861452840045105e-04
1.811804160098043071e-01	9.557859721000546522e-04
1.831211462589187600e-01	9.675857989161047940e-04
1.850618765080332129e-01	9.793856257321550442e-04
1.870026067571476658e-01	9.911854525482049691e-04
1.889433370062620909e-01	1.002985279364254894e-03
1.908840672553765438e-01	1.014785106180304819e-03
1.928247975044909968e-01	1.026584932996355178e-03
1.947655277536054497e-01	1.038384759812405102e-03
1.967062580027199026e-01	1.050184586628455461e-03
1.986469882518343277e-01	1.061984413444505386e-03
2.005877185009487806e-01	1.073784240260555311e-03
2.025284487500632336e-01	1.085584067076605236e-03
2.044691789991776865e-01	1.097383893892655594e-03
2.064099092482921116e-01	1.109183720708705519e-03
2.083506394974065645e-01	1.120983547524755444e-03
2.102913697465210174e-01	1.132783374340805803e-03
2.122320999956354703e-01	1.144583201156855728e-03
2.141728302447499233e-01	1.156383027972905653e-03
2.161135604938643484e-01	1.168182854788955578e-03
