D	q
4.759350370813669566e-03	1.106233424028829904e-01
4.765529576240208447e-03	1.109064932719532742e-01
4.771712790387479426e-03	1.111896441410235442e-01
4.777900013255484239e-03	1.114727950100938281e-01
4.784091244844221151e-03	1.117559458791641119e-01
4.790286485153691029e-03	1.120390967482343819e-01
4.796485734183895608e-03	1.123222476173046658e-01
4.802688991934831418e-03	1.126053984863749496e-01
4.808896258406499327e-03	1.128885493554452335e-01
4.815107533598901070e-03	1.131717002245155035e-01
4.821322817512034044e-03	1.134548510935857873e-01
4.827542110145900851e-03	1.137380019626560712e-01
4.833765411500500625e-03	1.140211528317263412e-01
4.839992721575832497e-03	1.143043037007966251e-01
4.846224040371899071e-03	1.145874545698669089e-01
4.852459367888696876e-03	1.148706054389371789e-01
4.858698704126226779e-03	1.151537563080074628e-01
4.864942049084489649e-03	1.154369071770777466e-01
4.871189402763485485e-03	1.157200580461480166e-01
4.877440765163214287e-03	1.160032089152183005e-01
4.883696136283676055e-03	1.162863597842885843e-01
4.889955516124869922e-03	1.165695106533588682e-01
4.896218904686796755e-03	1.168526615224291382e-01
4.902486301969458289e-03	1.171358123914994220e-01
4.908757707972851055e-03	1.174189632605697059e-01
4.915033122696975919e-03	1.177021141296399759e-01
4.921312546141834617e-03	1.179852649987102597e-01
4.927595978307424546e-03	1.182684158677805436e-01
4.933883419193748308e-03	1.185515667368508275e-01
4.940174868800805037e-03	1.188347176059210974e-01
4.946470327128593865e-03	1.191178684749913813e-01
4.952769794177115659e-03	1.194010193440616652e-01
4.959073269946370419e-03	1.196841702131319352e-01
4.965380754436359012e-03	1.199673210822022190e-01
4.971692247647079704e-03	1.202504719512725029e-01
4.978007749578532495e-03	1.205336228203427729e-01
4.984327260230717385e-03	1.208167736894130567e-01
4.990650779603636109e-03	1.210999245584833406e-01
4.996978307697286931e-03	1.213830754275536106e-01
5.003309844511670719e-03	1.216662262966238944e-01
5.009645390046787473e-03	1.219493771656941783e-01
5.015984944302637194e-03	1.222325280347644483e-01
5.022328507279221615e-03	1.225156789038347321e-01
5.028676078976536401e-03	1.227988297729050160e-01
5.035027659394584153e-03	1.230819806419752999e-01
5.041383248533364003e-03	1.233651315110455698e-01
5.047742846392877687e-03	1.236482823801158537e-01
5.054106452973123470e-03	1.239314332491861376e-01
5.060474068274102219e-03	1.242145841182564076e-01
5.066845692295813934e-03	1.244977349873266914e-01
5.073221325038260350e-03	1.247808858563969753e-01
5.079600966501437130e-03	1.250640367254672591e-01
5.085984616685346876e-03	1.253471875945375291e-01
5.092372275589989589e-03	1.256303384636077991e-01
5.098763943215364400e-03	1.259134893326780968e-01
5.105159619561473044e-03	1.261966402017483668e-01
5.111559304628313788e-03	1.264797910708186368e-01
5.117962998415887498e-03	1.267629419398889346e-01
5.124370700924193306e-03	1.270460928089592045e-01
5.130782412153234683e-03	1.273292436780295023e-01
5.137198132103006423e-03	1.276123945470997723e-01
5.143617860773511130e-03	1.278955454161700422e-01
5.150041598164748803e-03	1.281786962852403122e-01
5.156469344276718575e-03	1.284618471543106100e-01
5.162901099109422180e-03	1.287449980233808799e-01
5.169336862662857884e-03	1.290281488924511777e-01
5.175776634937025687e-03	1.293112997615214477e-01
5.182220415931927324e-03	1.295944506305917177e-01
5.188668205647563661e-03	1.298776014996620154e-01
5.195120004083930362e-03	1.301607523687322854e-01
5.201575811241029162e-03	1.304439032378025554e-01
5.208035627118861796e-03	1.307270541068728531e-01
5.214499451717426529e-03	1.310102049759431231e-01
5.220967285036724227e-03	1.312933558450133931e-01
5.227439127076754892e-03	1.315765067140836908e-01
5.233914977837518523e-03	1.318596575831539608e-01
5.240394837319014253e-03	1.321428084522242308e-01
5.246878705521245551e-03	1.324259593212945285e-01
5.253366582444207213e-03	1.327091101903647985e-01
5.259858468087901841e-03	1.329922610594350685e-01
5.266354362452328568e-03	1.332754119285053662e-01
5.272854265537488261e-03	1.335585627975756362e-01
5.279358177343380920e-03	1.338417136666459339e-01
5.285866097870006546e-03	1.341248645357162039e-01
5.292378027117365137e-03	1.344080154047864739e-01
5.298893965085455827e-03	1.346911662738567439e-01
5.305413911774279484e-03	1.349743171429270416e-01
5.311937867183836107e-03	1.352574680119973116e-01
5.318465831314127430e-03	1.355406188810676094e-01
5.324997804165149118e-03	1.358237697501378793e-01
5.331533785736903772e-03	1.361069206192081493e-01
5.338073776029391392e-03	1.363900714882784471e-01
5.344617775042611978e-03	1.366732223573487170e-01
5.351165782776564663e-03	1.369563732264189870e-01
5.357717799231251181e-03	1.372395240954892848e-01
5.364273824406668931e-03	1.375226749645595548e-01
5.370833858302820514e-03	1.378058258336298247e-01
5.377397900919706798e-03	1.380889767027001225e-01
5.383965952257323447e-03	1.383721275717703925e-01
5.390538012315673061e-03	1.386552784408406624e-01
5.397114081094755642e-03	1.389384293099109602e-01
5.403694158594571188e-03	1.392215801789812302e-01
5.410278244815118834e-03	1.395047310480515002e-01
5.416866339756399445e-03	1.397878819171217979e-01
5.423458443418413023e-03	1.400710327861920679e-01
5.430054555801161302e-03	1.403541836552623656e-01
5.436654676904639945e-03	1.406373345243326356e-01
5.443258806728851554e-03	1.409204853934029056e-01
5.449866945273796129e-03	1.412036362624731756e-01
5.456479092539473670e-03	1.414867871315434733e-01
5.463095248525883310e-03	1.417699380006137433e-01
5.469715413233026784e-03	1.420530888696840410e-01
5.476339586660902356e-03	1.423362397387543110e-01
5.482967768809510027e-03	1.426193906078245810e-01
5.489599959678853267e-03	1.429025414768948787e-01
5.496236159268927737e-03	1.431856923459651487e-01
5.502876367579734307e-03	1.434688432150354187e-01
5.509520584611272975e-03	1.437519940841057164e-01
5.516168810363545477e-03	1.440351449531759864e-01
5.522821044836550078e-03	1.443182958222462564e-01
5.529477288030287645e-03	1.446014466913165541e-01
5.536137539944758178e-03	1.448845975603868241e-01
5.542801800579963412e-03	1.451677484294571219e-01
5.549470069935899877e-03	1.454508992985273919e-01
5.556142348012568441e-03	1.457340501675976618e-01
5.562818634809969971e-03	1.460172010366679318e-01
5.569498930328103600e-03	1.463003519057382296e-01
5.576183234566971063e-03	1.465835027748084995e-01
5.582871547526570624e-03	1.468666536438787973e-01
5.589563869206903152e-03	1.471498045129490673e-01
5.596260199607968645e-03	1.474329553820193373e-01
5.602960538729766238e-03	1.477161062510896072e-01
5.609664886572299398e-03	1.479992571201599050e-01
5.616373243135562923e-03	1.482824079892301750e-01
5.623085608419559414e-03	1.485655588583004727e-01
5.629801982424288004e-03	1.488487097273707427e-01
5.636522365149750427e-03	1.491318605964410127e-01
5.643246756595944949e-03	1.494150114655113104e-01
5.649975156762872437e-03	1.496981623345815804e-01
5.656707565650532024e-03	1.499813132036518504e-01
5.663443983258925445e-03	1.502644640727221481e-01
5.670184409588050964e-03	1.505476149417924181e-01
5.676928844637909449e-03	1.508307658108626881e-01
5.683677288408502636e-03	1.511139166799329858e-01
5.690429740899826186e-03	1.513970675490032558e-01
5.697186202111883570e-03	1.516802184180735535e-01
5.703946672044673052e-03	1.519633692871438235e-01
5.710711150698194634e-03	1.522465201562140935e-01
5.717479638072450049e-03	1.525296710252843635e-01
5.724252134167437563e-03	1.528128218943546612e-01
5.731028638983158043e-03	1.530959727634249312e-01
5.737809152519613223e-03	1.533791236324952290e-01
5.744593674776799636e-03	1.536622745015654989e-01
5.751382205754718147e-03	1.539454253706357689e-01
5.758174745453369624e-03	1.542285762397060389e-01
5.764971293872754067e-03	1.545117271087763366e-01
5.771771851012871477e-03	1.547948779778466066e-01
5.778576416873720985e-03	1.550780288469169044e-01
5.785384991455304327e-03	1.553611797159871744e-01
5.792197574757619767e-03	1.556443305850574443e-01
5.799014166780667306e-03	1.559274814541277143e-01
5.805834767524450414e-03	1.562106323231980121e-01
5.812659376988963886e-03	1.564937831922682820e-01
5.819487995174210324e-03	1.567769340613385798e-01
5.826320622080189728e-03	1.570600849304088498e-01
5.833157257706902098e-03	1.573432357994791198e-01
5.839997902054346567e-03	1.576263866685494175e-01
5.846842555122524002e-03	1.579095375376196875e-01
5.853691216911436138e-03	1.581926884066899852e-01
5.860543887421079505e-03	1.584758392757602552e-01
5.867400566651454971e-03	1.587589901448305252e-01
5.874261254602563403e-03	1.590421410139007952e-01
5.881125951274404802e-03	1.593252918829710929e-01
5.887994656666979167e-03	1.596084427520413629e-01
5.894867370780285630e-03	1.598915936211116606e-01
5.901744093614325927e-03	1.601747444901819306e-01
5.908624825169098323e-03	1.604578953592522006e-01
5.915509565444602817e-03	1.607410462283224706e-01
5.922398314440842880e-03	1.610241970973927683e-01
5.929291072157813307e-03	1.613073479664630383e-01
5.936187838595516700e-03	1.615904988355333360e-01
5.943088613753953059e-03	1.618736497046036060e-01
5.949993397633122384e-03	1.621568005736738760e-01
5.956902190233023808e-03	1.624399514427441460e-01
5.963814991553658199e-03	1.627231023118144437e-01
5.970731801595025555e-03	1.630062531808847137e-01
5.977652620357127612e-03	1.632894040499550115e-01
5.984577447839960034e-03	1.635725549190252814e-01
5.991506284043526288e-03	1.638557057880955514e-01
