D	q
0.000000000000000000e+00	7.465587971172386872e-02
3.556729899735857660e-06	7.500399086652601022e-02
7.113459799472040580e-06	7.535210202132816559e-02
1.067018969920789824e-05	7.570021317613030709e-02
1.422691959894386432e-05	7.604832433093244859e-02
1.778364949867993882e-05	7.639643548573460397e-02
2.134037939841590490e-05	7.674454664053674546e-02
2.489710929815176256e-05	7.709265779533888696e-02
2.845383919788783706e-05	7.744076895014104234e-02
3.201056909762380314e-05	7.778888010494318384e-02
3.556729899735976922e-05	7.813699125974532533e-02
3.912402889709584372e-05	7.848510241454748071e-02
4.268075879683180980e-05	7.883321356934962221e-02
4.623748869656766746e-05	7.918132472415176371e-02
4.979421859630374196e-05	7.952943587895391908e-02
5.335094849603970804e-05	7.987754703375606058e-02
5.690767839577567412e-05	8.022565818855820208e-02
6.046440829551174862e-05	8.057376934336035745e-02
6.402113819524771470e-05	8.092188049816249895e-02
6.757786809498357236e-05	8.126999165296464045e-02
7.113459799471964686e-05	8.161810280776679583e-02
7.469132789445561294e-05	8.196621396256893732e-02
7.824805779419157902e-05	8.231432511737107882e-02
8.180478769392765352e-05	8.266243627217323420e-02
8.536151759366351118e-05	8.301054742697537570e-02
8.891824749339947726e-05	8.335865858177751719e-02
9.247497739313555176e-05	8.370676973657967257e-02
9.603170729287151784e-05	8.405488089138181407e-02
9.958843719260748392e-05	8.440299204618395557e-02
1.031451670923435584e-04	8.475110320098611094e-02
1.067018969920794161e-04	8.509921435578825244e-02
1.102586268918153822e-04	8.544732551059039394e-02
1.138153567915514567e-04	8.579543666539254931e-02
1.173720866912874227e-04	8.614354782019469081e-02
1.209288165910233888e-04	8.649165897499683231e-02
1.244855464907594633e-04	8.683977012979898769e-02
1.280422763904953210e-04	8.718788128460112918e-02
1.315990062902312871e-04	8.753599243940327068e-02
1.351557361899673616e-04	8.788410359420542606e-02
1.387124660897033276e-04	8.823221474900756756e-02
1.422691959894392937e-04	8.858032590380970905e-02
1.458259258891753682e-04	8.892843705861186443e-02
1.493826557889112259e-04	8.927654821341400593e-02
1.529393856886471920e-04	8.962465936821614743e-02
1.564961155883832665e-04	8.997277052301830280e-02
1.600528454881192325e-04	9.032088167782044430e-02
1.636095753878550902e-04	9.066899283262258580e-02
1.671663052875912731e-04	9.101710398742474117e-02
1.707230351873271308e-04	9.136521514222688267e-02
1.742797650870630969e-04	9.171332629702902417e-02
1.778364949867991714e-04	9.206143745183117955e-02
1.813932248865351374e-04	9.240954860663332104e-02
1.849499547862709951e-04	9.275765976143546254e-02
1.885066846860070696e-04	9.310577091623761792e-02
1.920634145857430357e-04	9.345388207103975942e-02
1.956201444854790018e-04	9.380199322584190091e-02
1.991768743852150763e-04	9.415010438064405629e-02
2.027336042849510423e-04	9.449821553544619779e-02
2.062903341846869000e-04	9.484632669024833929e-02
2.098470640844228661e-04	9.519443784505048078e-02
2.134037939841589406e-04	9.554254899985263616e-02
2.169605238838947982e-04	9.589066015465477766e-02
2.205172537836307643e-04	9.623877130945691916e-02
2.240739836833669472e-04	9.658688246425907453e-02
2.276307135831029133e-04	9.693499361906121603e-02
2.311874434828388794e-04	9.728310477386335753e-02
