D	q
2.747233867366273390e-03	1.056406550801237132e-01
2.755528899114555088e-03	1.061407388717822142e-01
2.763836435052770702e-03	1.066408226634407153e-01
2.772156475180920232e-03	1.071409064550992024e-01
2.780489019499004111e-03	1.076409902467577034e-01
2.788834068007021473e-03	1.081410740384162045e-01
2.797191620704973184e-03	1.086411578300746916e-01
2.805561677592858811e-03	1.091412416217331927e-01
2.813944238670678354e-03	1.096413254133916937e-01
2.822339303938431812e-03	1.101414092050501947e-01
2.830746873396119186e-03	1.106414929967086958e-01
2.839166947043740476e-03	1.111415767883671829e-01
2.847599524881296116e-03	1.116416605800256839e-01
2.856044606908785238e-03	1.121417443716841850e-01
2.864502193126208709e-03	1.126418281633426721e-01
2.872972283533566096e-03	1.131419119550011732e-01
2.881454878130857399e-03	1.136419957466596742e-01
2.889949976918083484e-03	1.141420795383181752e-01
2.898457579895243053e-03	1.146421633299766762e-01
2.906977687062335235e-03	1.151422471216351634e-01
2.915510298419363502e-03	1.156423309132936644e-01
2.924055413966324384e-03	1.161424147049521655e-01
2.932613033703219615e-03	1.166424984966106526e-01
2.941183157630048763e-03	1.171425822882691536e-01
2.949765785746812259e-03	1.176426660799276547e-01
2.958360918053509238e-03	1.181427498715861557e-01
2.966968554550140132e-03	1.186428336632446567e-01
2.975588695236705376e-03	1.191429174549031439e-01
2.984221340113204536e-03	1.196430012465616449e-01
2.992866489179637612e-03	1.201430850382201460e-01
3.001524142436004603e-03	1.206431688298786331e-01
3.010194299882305510e-03	1.211432526215371341e-01
3.018876961518540333e-03	1.216433364131956352e-01
3.027572127344709506e-03	1.221434202048541362e-01
3.036279797360812160e-03	1.226435039965126372e-01
3.044999971566849165e-03	1.231435877881711244e-01
3.053732649962820084e-03	1.236436715798296254e-01
3.062477832548724920e-03	1.241437553714881264e-01
3.071235519324563672e-03	1.246438391631466136e-01
3.080005710290336773e-03	1.251439229548051146e-01
3.088788405446043356e-03	1.256440067464636157e-01
3.097583604791684288e-03	1.261440905381221167e-01
3.106391308327258703e-03	1.266441743297806177e-01
3.115211516052768335e-03	1.271442581214391188e-01
3.124044227968210147e-03	1.276443419130975920e-01
3.132889444073587177e-03	1.281444257047560931e-01
3.141747164368897689e-03	1.286445094964145941e-01
3.150617388854142116e-03	1.291445932880730951e-01
3.159500117529320893e-03	1.296446770797315962e-01
3.168395350394434019e-03	1.301447608713900972e-01
3.177303087449480628e-03	1.306448446630485982e-01
3.186223328694461152e-03	1.311449284547070993e-01
3.195156074129375592e-03	1.316450122463656003e-01
3.204101323754223515e-03	1.321450960380240736e-01
3.213059077569005786e-03	1.326451798296825746e-01
3.222029335573723275e-03	1.331452636213410756e-01
3.231012097768373378e-03	1.336453474129995767e-01
3.240007364152957831e-03	1.341454312046580777e-01
3.249015134727476200e-03	1.346455149963165787e-01
3.258035409491928484e-03	1.351455987879750797e-01
3.267068188446314251e-03	1.356456825796335530e-01
3.276113471590635234e-03	1.361457663712920541e-01
3.285171258924889700e-03	1.366458501629505551e-01
3.294241550449077648e-03	1.371459339546090561e-01
3.303324346163199945e-03	1.376460177462675571e-01
3.312419646067256158e-03	1.381461015379260582e-01
3.321527450161246287e-03	1.386461853295845592e-01
3.330647758445170765e-03	1.391462691212430602e-01
3.339780570919028725e-03	1.396463529129015613e-01
3.348925887582821035e-03	1.401464367045600623e-01
3.358083708436546827e-03	1.406465204962185356e-01
3.367254033480206969e-03	1.411466042878770366e-01
3.376436862713801026e-03	1.416466880795355376e-01
3.385632196137328999e-03	1.421467718711940387e-01
3.394840033750790888e-03	1.426468556628525397e-01
3.404060375554187126e-03	1.431469394545110130e-01
3.413293221547516847e-03	1.436470232461695140e-01
3.422538571730780917e-03	1.441471070378280150e-01
3.431796426103978902e-03	1.446471908294865161e-01
3.441066784667110804e-03	1.451472746211450171e-01
3.450349647420176621e-03	1.456473584128035181e-01
3.459645014363176355e-03	1.461474422044620192e-01
3.468952885496110871e-03	1.466475259961205202e-01
3.478273260818978870e-03	1.471476097877790212e-01
3.487606140331780784e-03	1.476476935794375223e-01
3.496951524034516180e-03	1.481477773710960233e-01
3.506309411927185059e-03	1.486478611627544966e-01
3.515679804009789154e-03	1.491479449544129976e-01
3.525062700282327599e-03	1.496480287460714986e-01
3.534458100744799092e-03	1.501481125377299997e-01
3.543866005397204935e-03	1.506481963293885007e-01
3.553286414239543393e-03	1.511482801210469740e-01
3.562719327271817067e-03	1.516483639127054750e-01
3.572164744494024657e-03	1.521484477043639760e-01
3.581622665906167031e-03	1.526485314960224771e-01
3.591093091508242453e-03	1.531486152876809781e-01
3.600576021300252224e-03	1.536486990793394791e-01
3.610071455282195477e-03	1.541487828709979802e-01
3.619579393454073080e-03	1.546488666626564812e-01
3.629099835815884165e-03	1.551489504543149822e-01
3.638632782367629600e-03	1.556490342459734832e-01
3.648178233109309818e-03	1.561491180376319843e-01
3.657736188040922650e-03	1.566492018292904576e-01
3.667306647162469832e-03	1.571492856209489586e-01
3.676889610473950930e-03	1.576493694126074596e-01
3.686485077975366377e-03	1.581494532042659606e-01
3.696093049666715740e-03	1.586495369959244617e-01
3.705713525547999019e-03	1.591496207875829350e-01
3.715346505619216214e-03	1.596497045792414360e-01
3.724991989880367324e-03	1.601497883708999370e-01
3.734649978331452350e-03	1.606498721625584380e-01
3.744320470972471726e-03	1.611499559542169391e-01
3.754003467803424584e-03	1.616500397458754401e-01
3.763698968824312659e-03	1.621501235375339411e-01
3.773406974035132914e-03	1.626502073291924422e-01
3.783127483435888821e-03	1.631502911208509432e-01
3.792860497026577776e-03	1.636503749125094442e-01
3.802606014807200646e-03	1.641504587041679453e-01
3.812364036777756999e-03	1.646505424958264185e-01
3.822134562938249002e-03	1.651506262874849196e-01
3.831917593288672753e-03	1.656507100791434206e-01
3.841713127829032588e-03	1.661507938708019216e-01
3.851521166559325471e-03	1.666508776624604227e-01
3.861341709479551403e-03	1.671509614541188959e-01
3.871174756589712551e-03	1.676510452457773970e-01
3.881020307889808049e-03	1.681511290374358980e-01
3.890878363379836162e-03	1.686512128290943990e-01
3.900748923059799492e-03	1.691512966207529001e-01
3.910631986929695436e-03	1.696513804124114011e-01
3.920527554989527465e-03	1.701514642040699021e-01
3.930435627239292976e-03	1.706515479957284032e-01
3.940356203678990234e-03	1.711516317873869042e-01
3.950289284308624443e-03	1.716517155790454052e-01
3.960234869128189533e-03	1.721517993707039063e-01
3.970192958137689840e-03	1.726518831623623795e-01
3.980163551337125363e-03	1.731519669540208806e-01
3.990146648726492634e-03	1.736520507456793816e-01
4.000142250305795989e-03	1.741521345373378826e-01
4.010150356075033694e-03	1.746522183289963837e-01
4.020170966034203146e-03	1.751523021206548569e-01
4.030204080183306947e-03	1.756523859123133580e-01
4.040249698522345966e-03	1.761524697039718590e-01
4.050307821051319333e-03	1.766525534956303600e-01
4.060378447770225316e-03	1.771526372872888611e-01
4.070461578679066515e-03	1.776527210789473621e-01
4.080557213777839462e-03	1.781528048706058631e-01
4.090665353066549360e-03	1.786528886622643642e-01
4.100785996545190139e-03	1.791529724539228652e-01
4.110919144213767869e-03	1.796530562455813662e-01
4.121064796072277346e-03	1.801531400372398672e-01
4.131222952120722040e-03	1.806532238288983405e-01
4.141393612359099349e-03	1.811533076205568416e-01
4.151576776787412743e-03	1.816533914122153426e-01
4.161772445405657883e-03	1.821534752038738436e-01
4.171980618213839108e-03	1.826535589955323446e-01
4.182201295211952080e-03	1.831536427871908179e-01
4.192434476400001137e-03	1.836537265788493190e-01
4.202680161777981940e-03	1.841538103705078200e-01
4.212938351345898828e-03	1.846538941621663210e-01
4.223209045103748331e-03	1.851539779538248220e-01
4.233492243051533051e-03	1.856540617454833231e-01
4.243787945189250385e-03	1.861541455371418241e-01
4.254096151516902936e-03	1.866542293288003251e-01
4.264416862034489837e-03	1.871543131204588262e-01
4.274750076742009353e-03	1.876543969121173272e-01
4.285095795639464085e-03	1.881544807037758282e-01
4.295454018726850565e-03	1.886545644954343015e-01
4.305824746004173996e-03	1.891546482870928025e-01
4.316207977471428307e-03	1.896547320787513036e-01
4.326603713128617835e-03	1.901548158704098046e-01
4.337011952975742581e-03	1.906548996620683056e-01
4.347432697012799073e-03	1.911549834537267789e-01
4.357865945239791650e-03	1.916550672453852799e-01
4.368311697656716841e-03	1.921551510370437810e-01
4.378769954263577249e-03	1.926552348287022820e-01
4.389240715060372007e-03	1.931553186203607830e-01
4.399723980047098512e-03	1.936554024120192841e-01
4.410219749223761102e-03	1.941554862036777851e-01
4.420728022590355438e-03	1.946555699953362861e-01
4.431248800146885859e-03	1.951556537869947872e-01
4.441782081893348895e-03	1.956557375786532882e-01
4.452327867829747148e-03	1.961558213703117892e-01
4.462886157956078015e-03	1.966559051619702625e-01
4.473456952272344099e-03	1.971559889536287635e-01
4.484040250778542798e-03	1.976560727452872646e-01
4.494636053474676714e-03	1.981561565369457656e-01
4.505244360360743244e-03	1.986562403286042666e-01
4.515865171436745859e-03	1.991563241202627399e-01
4.526498486702680221e-03	1.996564079119212409e-01
4.537144306158550668e-03	2.001564917035797420e-01
4.547802629804352861e-03	2.006565754952382430e-01
4.558473457640091139e-03	2.011566592868967440e-01
4.569156789665761165e-03	2.016567430785552451e-01
4.579852625881368142e-03	2.021568268702137461e-01
4.590560966286905999e-03	2.026569106618722471e-01
4.601281810882379940e-03	2.031569944535307481e-01
4.612015159667788231e-03	2.036570782451892492e-01
4.622761012643128269e-03	2.041571620368477502e-01
4.633519369808402656e-03	2.046572458285062235e-01
4.644290231163613128e-03	2.051573296201647245e-01
4.655073596708757082e-03	2.056574134118232255e-01
4.665869466443832783e-03	2.061574972034817266e-01
4.676677840368842834e-03	2.066575809951402276e-01
4.687498718483788969e-03	2.071576647867987009e-01
4.698332100788668586e-03	2.076577485784572019e-01
4.709177987283480818e-03	2.081578323701157029e-01
4.720036377968227399e-03	2.086579161617742040e-01
4.730907272842909198e-03	2.091579999534327050e-01
4.741790671907524478e-03	2.096580837450912060e-01
