D	q
3.672714683232532716e-03	1.296057498498857929e-01
3.678286424907230723e-03	1.298963747076793684e-01
3.683862389722327747e-03	1.301869995654729717e-01
3.689442577677823354e-03	1.304776244232665472e-01
3.695026988773716242e-03	1.307682492810601227e-01
3.700615623010008581e-03	1.310588741388536982e-01
3.706208480386699068e-03	1.313494989966473014e-01
3.711805560903787271e-03	1.316401238544408769e-01
3.717406864561273623e-03	1.319307487122344524e-01
3.723012391359159425e-03	1.322213735700280279e-01
3.728622141297443810e-03	1.325119984278216312e-01
3.734236114376125477e-03	1.328026232856152067e-01
3.739854310595206160e-03	1.330932481434087822e-01
3.745476729954685426e-03	1.333838730012023854e-01
3.751103372454562407e-03	1.336744978589959609e-01
3.756734238094837537e-03	1.339651227167895364e-01
3.762369326875511684e-03	1.342557475745831119e-01
3.768008638796584847e-03	1.345463724323767152e-01
3.773652173858054858e-03	1.348369972901702907e-01
3.779299932059924320e-03	1.351276221479638662e-01
3.784951913402191497e-03	1.354182470057574417e-01
3.790608117884857690e-03	1.357088718635510449e-01
3.796268545507921598e-03	1.359994967213446204e-01
3.801933196271384523e-03	1.362901215791381959e-01
3.807602070175246031e-03	1.365807464369317992e-01
3.813275167219504821e-03	1.368713712947253747e-01
3.818952487404163060e-03	1.371619961525189502e-01
3.824634030729219016e-03	1.374526210103125257e-01
3.830319797194673987e-03	1.377432458681061289e-01
3.836009786800526240e-03	1.380338707258997044e-01
3.841703999546777944e-03	1.383244955836932799e-01
3.847402435433427796e-03	1.386151204414868832e-01
3.853105094460475364e-03	1.389057452992804587e-01
3.858811976627922382e-03	1.391963701570740342e-01
3.864523081935766682e-03	1.394869950148676097e-01
3.870238410384010432e-03	1.397776198726612129e-01
3.875957961972651463e-03	1.400682447304547884e-01
3.881681736701691511e-03	1.403588695882483639e-01
3.887409734571129274e-03	1.406494944460419394e-01
3.893141955580966488e-03	1.409401193038355427e-01
3.898878399731201851e-03	1.412307441616291181e-01
3.904619067021834929e-03	1.415213690194226936e-01
3.910363957452866156e-03	1.418119938772162969e-01
3.916113071024298134e-03	1.421026187350098724e-01
3.921866407736125659e-03	1.423932435928034479e-01
3.927623967588352201e-03	1.426838684505970234e-01
3.933385750580978626e-03	1.429744933083906266e-01
3.939151756714002334e-03	1.432651181661842021e-01
3.944921985987423323e-03	1.435557430239777776e-01
3.950696438401243328e-03	1.438463678817713531e-01
3.956475113955464085e-03	1.441369927395649564e-01
3.962258012650080388e-03	1.444276175973585319e-01
3.968045134485095708e-03	1.447182424551521074e-01
3.973836479460510912e-03	1.450088673129457106e-01
3.979632047576322530e-03	1.452994921707392861e-01
3.985431838832533165e-03	1.455901170285328616e-01
