x	 y
-9.858904962260522709e+00	-2.193235960161704634e-01
-8.742238295593855568e+00	-1.944819579415329458e-01
-7.625571628927190204e+00	-1.696403198668954559e-01
-6.508904962260523064e+00	-1.447986817922579383e-01
-5.392238295593856812e+00	-1.199570437176204346e-01
-4.275571628927190559e+00	-9.511540564298293088e-02
-3.158904962260523419e+00	-7.027376756834541327e-02
-2.042238295593857167e+00	-4.543212949370791648e-02
-9.255716289271909147e-01	-2.059049141907041622e-02
8.682775639933740242e-02	1.931591372512057305e-03
1.031568137242504235e-01	2.294851550570711947e-03
1.144924323906585384e-01	2.547026478567442163e-03
1.276214288897727644e-01	2.839097325714468045e-03
1.410950377394765143e-01	3.138834502971399407e-03
1.910950377394765032e-01	4.251146655567108329e-03
