x	 y
2.118684351347807637e-02	7.964939473849470819e-04
2.674239906903363301e-02	8.868070284268683712e-04
3.229795462458918964e-02	9.771201094687896604e-04
3.785351018014474628e-02	1.067433190510711167e-03
4.340906573570030291e-02	1.157746271552632673e-03
4.896462129125585261e-02	1.248059352594553962e-03
5.452017684681141618e-02	1.338372433636475251e-03
6.007573240236696588e-02	1.428685514678396540e-03
6.563128795792252945e-02	1.518998595720318047e-03
7.118684351347807915e-02	1.609311676762239336e-03
8.234449771768509452e-02	1.790694459871050321e-03
9.399088898584159746e-02	1.980022325991499972e-03
1.009018216796574857e-01	2.092368898392834783e-03
1.109389509608158936e-01	2.255536031028384548e-03
1.188170480340219048e-01	2.383605170525529039e-03
1.359999516770062644e-01	2.662936544989516052e-03
1.433853411801964406e-01	2.782996055520514656e-03
1.534391610031053399e-01	2.946434515521019048e-03
1.633203372718550206e-01	3.107066420687856854e-03
1.666274859481976234e-01	3.160828602244215076e-03
1.781789587693661803e-01	3.348613440433529775e-03
1.927126724639308120e-01	3.584878643726243427e-03
1.956227774381806006e-01	3.632186342074628961e-03
2.045557928445167484e-01	3.777404608056039378e-03
2.144761558403515123e-01	3.938673546553497946e-03
2.321080458183057138e-01	4.225303802083716850e-03
2.389524418664909777e-01	4.336568731180615033e-03
2.408134403962861603e-01	4.366821783167867260e-03
2.470034858908999875e-01	4.467449357641348900e-03
2.613755736584971179e-01	4.701087112554737726e-03
2.833377593876801881e-01	5.058112191285877787e-03
3.131488808886246367e-01	5.542732353057642017e-03
