x	 y
1.192258284206045155e-01	3.917387035341280722e-03
1.357936621131635990e-01	4.461754122328154618e-03
1.443084571397070248e-01	4.741523599189304168e-03
1.596721293179359513e-01	5.246325712988886281e-03
1.598870505550907262e-01	5.253387351219484039e-03
2.027661842536744030e-01	6.662261289548672416e-03
2.070616150927460652e-01	6.803395683858122316e-03
2.252033959162371701e-01	7.399477740383931038e-03
2.289927063214957648e-01	7.523982603559018108e-03
2.531298220590055270e-01	8.317052574329814735e-03
2.638236679176836352e-01	8.668418831789878945e-03
2.923346725601214113e-01	9.605201083004992479e-03
3.012559851856130844e-01	9.898327454029543296e-03
3.068115407411686202e-01	1.008086559694497918e-02
3.123670962967242115e-01	1.026340373986041679e-02
3.179226518522797473e-01	1.044594188277585094e-02
3.234782074078352831e-01	1.062848002569128682e-02
3.290337629633908745e-01	1.081101816860672443e-02
3.345893185189464103e-01	1.099355631152216031e-02
3.401448740745019461e-01	1.117609445443759446e-02
3.457004296300575374e-01	1.135863259735303207e-02
3.512559851856130733e-01	1.154117074026846795e-02
