x	 y
0.000000000000000000e+00	0.000000000000000000e+00
3.244816010884101539e-03	1.932575468471494308e-07
6.489632021768203078e-03	1.232174563477407658e-06
9.734448032652304184e-03	3.641627324045093082e-06
1.297926404353640616e-02	7.856118323190513510e-06
1.622408005442050813e-02	1.426299354715279210e-05
1.946889606530460837e-02	2.321834583723449456e-05
2.271371207618871207e-02	3.505531994072665807e-05
2.595852808707281231e-02	5.008916507234924368e-05
2.920334409795691255e-02	6.862060387075349488e-05
3.244816010884101626e-02	9.093822277348904363e-05
3.569297611972511997e-02	1.173202464774286311e-04
3.893779213060921673e-02	1.480359013833972860e-04
4.218260814149332044e-02	1.833464921263472445e-04
4.542742415237742415e-02	2.235062705193541211e-04
4.867224016326152092e-02	2.687631498555191492e-04
5.191705617414562463e-02	3.193593011753584864e-04
5.516187218502972833e-02	3.755316575712499671e-04
5.840668819591382510e-02	4.375123455689717482e-04
6.165150420679792881e-02	5.055290577948179809e-04
6.489632021768203252e-02	5.798053777323309513e-04
6.814113622856612928e-02	6.605610649205856649e-04
7.138595223945023993e-02	7.480123071453534693e-04
7.463076825033433670e-02	8.423719448293945887e-04
7.787558426121843347e-02	9.438496718078497700e-04
8.112040027210254411e-02	1.052652215890024882e-03
8.436521628298664088e-02	1.168983501997858171e-03
8.761003229387073765e-02	1.293044800190147571e-03
9.085484830475484830e-02	1.425034860498699792e-03
9.409966431563894507e-02	1.565150036194966473e-03
9.734448032652304184e-02	1.713584396856489929e-03
1.005892963374071525e-01	1.870529832398857206e-03
1.038341123482912493e-01	2.036176149071311069e-03
1.070789283591753460e-01	2.210711158275322288e-03
1.103237443700594567e-01	2.394320758949587333e-03
1.135685603809435534e-01	2.587189014167783421e-03
1.168133763918276502e-01	2.789498222513404901e-03
1.200581924027117608e-01	3.001428984726454020e-03
1.233030084135958576e-01	3.223160266057484725e-03
1.265478244244799544e-01	3.454869454713731247e-03
1.297926404353640650e-01	3.696732416738352910e-03
1.330374564462481757e-01	3.948923547626117213e-03
1.362822724571322586e-01	4.211615820946138476e-03
1.395270884680163692e-01	4.484980834213789583e-03
1.427719044789004799e-01	4.769188852229029260e-03
1.460167204897845628e-01	5.064408848076616156e-03
1.492615365006686734e-01	5.370808541964496204e-03
1.525063525115527840e-01	5.688554438059705010e-03
1.557511685224368669e-01	6.017811859466256491e-03
1.589959845333209776e-01	6.358744981476173279e-03
1.622408005442050882e-01	6.711516863212987037e-03
1.654856165550891711e-01	7.076289477776638061e-03
1.687304325659732818e-01	7.453223740989176407e-03
1.719752485768573924e-01	7.842479538832318464e-03
1.752200645877414753e-01	8.244215753660371140e-03
1.784648805986255860e-01	8.658590289265181983e-03
1.817096966095096966e-01	9.085760094863655142e-03
1.849545126203937795e-01	9.525881188072911343e-03
1.881993286312778901e-01	9.979108676933036090e-03
1.914441446421620008e-01	1.044559678103288217e-02
1.946889606530460837e-01	1.092549885179030546e-02
1.979337766639301943e-01	1.141896739193436726e-02
2.011785926748143050e-01	1.192615407423364138e-02
2.044234086856983879e-01	1.244720975951170601e-02
2.076682246965824985e-01	1.298228451398796522e-02
2.109130407074666091e-01	1.353152762597929770e-02
2.141578567183506920e-01	1.409508762199579782e-02
2.174026727292348027e-01	1.467311228226148706e-02
2.206474887401189133e-01	1.526574865568888252e-02
2.238923047510029962e-01	1.587314307433462107e-02
2.271371207618871069e-01	1.649544116736134658e-02
2.303819367727712175e-01	1.713278787452967786e-02
2.336267527836553004e-01	1.778532745924254338e-02
2.368715687945394111e-01	1.845320352116285381e-02
2.401163848054235217e-01	1.913655900842408525e-02
2.433612008163076046e-01	1.983553622945240583e-02
2.466060168271917152e-01	2.055027686441775886e-02
2.498508328380758259e-01	2.128092197633021931e-02
2.530956488489599088e-01	2.202761202179728817e-02
2.563404648598440194e-01	2.279048686145667205e-02
2.595852808707281301e-01	2.356968577009829410e-02
2.628300968816122407e-01	2.436534744648874082e-02
2.660749128924963514e-01	2.517761002291040925e-02
2.693197289033804065e-01	2.600661107442705025e-02
2.725645449142645171e-01	2.685248762788689306e-02
2.758093609251486278e-01	2.771537617067363485e-02
2.790541769360327384e-01	2.859541265921552999e-02
2.822989929469168491e-01	2.949273252726186678e-02
2.855438089578009597e-01	3.040747069393580707e-02
2.887886249686850149e-01	3.133976157157224857e-02
2.920334409795691255e-01	3.228973907334873467e-02
2.952782569904532362e-01	3.325753662071709998e-02
2.985230730013373468e-01	3.424328715064328676e-02
3.017678890122214574e-01	3.524712312266237157e-02
3.050127050231055681e-01	3.626917652575529366e-02
3.082575210339896232e-01	3.730957888505388037e-02
3.115023370448737339e-01	3.836846126838007465e-02
3.147471530557578445e-01	3.944595429262520020e-02
3.179919690666419552e-01	4.054218812997484322e-02
3.212367850775260658e-01	4.165729251398463118e-02
