x	 y
6.325792673998041626e-02	1.595754884256023187e-02
6.881348229553596596e-02	1.627910508170808679e-02
7.436903785109152953e-02	1.660066132085594170e-02
7.992459340664709311e-02	1.692221756000379662e-02
8.548014896220264280e-02	1.724377379915165154e-02
9.103570451775819250e-02	1.756533003829950645e-02
9.659126007331375607e-02	1.788688627744736137e-02
1.021468156288693058e-01	1.820844251659521629e-02
1.077023711844248693e-01	1.852999875574307120e-02
1.132579267399804190e-01	1.885155499489092612e-02
1.536824467747882617e-01	2.119133118860591289e-02
1.667526087486270736e-01	2.194783377189087753e-02
1.673399859422657621e-01	2.198183123613346029e-02
1.722933362726065398e-01	2.226853176274656843e-02
1.731901209766809890e-01	2.232043777176472010e-02
1.738514670142594920e-01	2.235871656179615197e-02
1.777711034538813628e-01	2.258558560121946140e-02
1.784466036620083185e-01	2.262468363638386187e-02
1.831939654889409019e-01	2.289946152307351795e-02
1.877499592666089512e-01	2.316316300352454921e-02
