x	 y
1.128734601477697080e-01	-9.877984273567140538e-03
1.184290157033252577e-01	-7.370062410805310049e-03
1.239845712588808213e-01	-4.862140548043465682e-03
1.295401268144363849e-01	-2.354218685281621315e-03
1.350956823699919207e-01	1.537031774802091744e-04
1.406512379255474843e-01	2.661625040242046603e-03
1.462067934811030478e-01	5.169546903003890970e-03
1.517623490366586114e-01	7.677468765765735337e-03
1.573179045922141472e-01	1.018539062852756583e-02
1.628734601477697108e-01	1.269331249128941019e-02
1.699377177804569927e-01	1.588230160030516813e-02
1.715935252651374365e-01	1.662977604274902543e-02
1.762715948419934509e-01	1.874157797686630544e-02
1.790120932719803937e-01	1.997871004380347149e-02
1.915951443178441349e-01	2.565902563107405610e-02
1.936549618497947767e-01	2.658888068697630447e-02
1.961087368343639448e-01	2.769657835439415239e-02
1.995896304458207871e-01	2.926794400861586209e-02
2.051228491462130099e-01	3.176578243564399939e-02
2.070678116539012570e-01	3.264378895479501386e-02
2.135678872164875619e-01	3.557809164513756062e-02
2.207241786895232372e-01	3.880862721661157422e-02
2.259033867446505195e-01	4.114665605699584228e-02
2.268606502014279269e-01	4.157878960829734794e-02
2.270640147550811172e-01	4.167059364213653028e-02
2.299877056557950161e-01	4.299042354151100254e-02
