x	 y
0.000000000000000000e+00	0.000000000000000000e+00
2.962536334506796817e-03	2.712755438361036126e-05
5.925072669013593633e-03	8.225922586969760598e-05
8.887609003520390016e-03	1.573998548339406009e-04
1.185014533802718727e-02	2.494356898154479266e-04
1.481268167253398452e-02	3.564964187698475579e-04
1.777521800704078003e-02	4.772855683026581150e-04
2.073775434154757902e-02	6.108311604445561260e-04
2.370029067605437453e-02	7.563669934393108104e-04
2.666282701056117005e-02	9.132675194898401926e-04
2.962536334506796903e-02	1.081008594384923280e-03
3.258789967957476802e-02	1.259142160884198312e-03
3.555043601408156007e-02	1.447279058486588936e-03
3.851297234858835905e-02	1.645076870081109248e-03
4.147550868309515804e-02	1.852231044668576753e-03
4.443804501760195008e-02	2.068468236012279554e-03
4.740058135210874907e-02	2.293541189665761898e-03
5.036311768661554805e-02	2.527224742023916493e-03
5.332565402112234010e-02	2.769312636990279870e-03
5.628819035562913908e-02	3.019614956146748908e-03
5.925072669013593807e-02	3.277956017528739583e-03
6.221326302464273011e-02	3.544172637991588326e-03
6.517579935914953604e-02	3.818112681650723522e-03
6.813833569365632115e-02	4.099633836232729860e-03
7.110087202816312013e-02	4.388602573052410340e-03
7.406340836266991912e-02	4.684893256448882833e-03
7.702594469717671810e-02	4.988387376002277433e-03
7.998848103168351709e-02	5.298972880471015424e-03
8.295101736619031607e-02	5.616543596657998932e-03
8.591355370069710118e-02	5.940998719693918462e-03
8.887609003520390016e-02	6.272242363772713263e-03
9.183862636971069915e-02	6.610183164371197587e-03
9.480116270421749813e-02	6.954733924564775703e-03
9.776369903872429712e-02	7.305811299311474639e-03
1.007262353732310961e-01	7.663335512589844987e-03
1.036887717077378951e-01	8.027230103096865896e-03
1.066513080422446802e-01	8.397421694880908422e-03
1.096138443767514792e-01	8.773839789833867003e-03
1.125763807112582782e-01	9.156416579419441801e-03
1.155389170457650772e-01	9.545086773390840454e-03
1.185014533802718761e-01	9.939787443564784136e-03
1.214639897147786751e-01	1.034045788098196181e-02
1.244265260492854602e-01	1.074703946500581674e-02
1.273890623837922731e-01	1.115947554309917357e-02
1.303515987182990721e-01	1.157771132017776892e-02
1.333141350528058433e-01	1.200169375657591207e-02
1.362766713873126423e-01	1.243137147377607922e-02
1.392392077218194413e-01	1.286669466715454138e-02
1.422017440563262403e-01	1.330761502508170588e-02
1.451642803908330392e-01	1.375408565379072391e-02
1.481268167253398382e-01	1.420606100749295837e-02
1.510893530598466372e-01	1.466349682327562805e-02
1.540518893943534362e-01	1.512635006036648112e-02
1.570144257288602352e-01	1.559457884339360799e-02
1.599769620633670342e-01	1.606814240930684243e-02
1.629394983978738332e-01	1.654700105766051740e-02
1.659020347323806321e-01	1.703111610398717196e-02
1.688645710668874311e-01	1.752044983601795322e-02
1.718271074013942024e-01	1.801496547252874614e-02
1.747896437359010013e-01	1.851462712461171903e-02
1.777521800704078003e-01	1.901939975919048412e-02
1.807147164049145993e-01	1.952924916461341517e-02
1.836772527394213983e-01	2.004414191817449967e-02
1.866397890739281973e-01	2.056404535542421391e-02
1.896023254084349963e-01	2.108892754114474397e-02
1.925648617429417953e-01	2.161875724187466152e-02
1.955273980774485942e-01	2.215350389987751772e-02
1.984899344119553932e-01	2.269313760845777933e-02
2.014524707464621922e-01	2.323762908853513678e-02
2.044150070809689912e-01	2.378694966639538153e-02
2.073775434154757902e-01	2.434107125254248577e-02
2.103400797499825614e-01	2.489996632158243683e-02
2.133026160844893604e-01	2.546360789307446776e-02
2.162651524189961594e-01	2.603196951329041914e-02
2.192276887535029584e-01	2.660502523782722409e-02
2.221902250880097573e-01	2.718274961502157444e-02
2.251527614225165563e-01	2.776511767011950391e-02
2.281152977570233553e-01	2.835210489015704827e-02
2.310778340915301543e-01	2.894368720951111598e-02
2.340403704260369533e-01	2.953984099608268285e-02
2.370029067605437523e-01	3.014054303807690155e-02
2.399654430950505513e-01	3.074577053134719754e-02
2.429279794295573502e-01	3.135550106727259811e-02
2.458905157640641492e-01	3.196971262113953993e-02
2.488530520985709205e-01	3.258838354100137419e-02
2.518155884330777194e-01	3.321149253699044041e-02
2.547781247675845462e-01	3.383901867105906791e-02
2.577406611020913174e-01	3.447094134712770652e-02
2.607031974365981442e-01	3.510724030161941484e-02
2.636657337711049154e-01	3.574789559436114539e-02
2.666282701056116866e-01	3.639288759983405619e-02
2.695908064401185134e-01	3.704219699875527239e-02
2.725533427746252846e-01	3.769580476997524271e-02
2.755158791091321113e-01	3.835369218267563329e-02
2.784784154436388826e-01	3.901584078885322188e-02
2.814409517781457093e-01	3.968223241607668483e-02
2.844034881126524805e-01	4.035284916050325271e-02
2.873660244471593073e-01	4.102767338014366022e-02
2.903285607816660785e-01	4.170668768836369167e-02
2.932910971161729052e-01	4.238987494761208702e-02
